Date,month,day,year,Time,Site ,Tow,Depth_m,DO_mgL,Temp_C
7/20/2021,7,20,2021,12:08:28,CH712,S,0.358,9.48,24.244
7/20/2021,7,20,2021,12:08:29,CH712,S,0.363,9.48,24.244
7/20/2021,7,20,2021,12:08:30,CH712,S,0.371,9.48,24.243
7/20/2021,7,20,2021,12:08:31,CH712,S,0.373,9.49,24.242
7/20/2021,7,20,2021,12:08:32,CH712,S,0.38,9.49,24.241
7/20/2021,7,20,2021,12:08:33,CH712,S,0.382,9.49,24.241
7/20/2021,7,20,2021,12:08:34,CH712,S,0.385,9.49,24.24
7/20/2021,7,20,2021,12:08:35,CH712,S,0.391,9.49,24.239
7/20/2021,7,20,2021,12:08:36,CH712,S,0.394,9.5,24.238
7/20/2021,7,20,2021,12:08:37,CH712,S,0.395,9.5,24.237
7/20/2021,7,20,2021,12:08:38,CH712,S,0.4,9.5,24.236
7/20/2021,7,20,2021,12:08:39,CH712,S,0.406,9.5,24.234
7/20/2021,7,20,2021,12:08:40,CH712,S,0.409,9.51,24.233
7/20/2021,7,20,2021,12:08:41,CH712,S,0.416,9.51,24.232
7/20/2021,7,20,2021,12:08:42,CH712,S,0.423,9.51,24.232
7/20/2021,7,20,2021,12:08:43,CH712,S,0.431,9.51,24.232
7/20/2021,7,20,2021,12:08:44,CH712,S,0.442,9.52,24.232
7/20/2021,7,20,2021,12:08:45,CH712,S,0.454,9.52,24.232
7/20/2021,7,20,2021,12:08:46,CH712,S,0.467,9.52,24.233
7/20/2021,7,20,2021,12:08:47,CH712,S,0.48,9.52,24.234
7/20/2021,7,20,2021,12:08:48,CH712,S,0.496,9.52,24.236
7/20/2021,7,20,2021,12:08:49,CH712,S,0.511,9.52,24.239
7/20/2021,7,20,2021,12:08:50,CH712,S,0.528,9.52,24.241
7/20/2021,7,20,2021,12:08:51,CH712,S,0.543,9.53,24.245
7/20/2021,7,20,2021,12:08:52,CH712,S,0.561,9.53,24.248
7/20/2021,7,20,2021,12:08:53,CH712,S,1.18,9.53,24.252
7/20/2021,7,20,2021,12:08:54,CH712,S,1.249,9.53,24.256
7/20/2021,7,20,2021,12:08:55,CH712,S,1.539,9.53,24.26
7/20/2021,7,20,2021,12:08:56,CH712,S,1.501,9.53,24.262
7/20/2021,7,20,2021,12:08:57,CH712,S,1.452,9.53,24.266
7/20/2021,7,20,2021,12:08:58,CH712,S,1.482,9.53,24.269
7/20/2021,7,20,2021,12:08:59,CH712,S,1.54,9.53,24.273
7/20/2021,7,20,2021,12:09:00,CH712,S,1.589,9.53,24.276
7/20/2021,7,20,2021,12:09:01,CH712,S,1.636,9.53,24.278
7/20/2021,7,20,2021,12:09:02,CH712,S,1.684,9.52,24.28
7/20/2021,7,20,2021,12:09:03,CH712,S,1.722,9.52,24.281
7/20/2021,7,20,2021,12:09:04,CH712,S,1.763,9.52,24.279
7/20/2021,7,20,2021,12:09:05,CH712,S,1.817,9.52,24.276
7/20/2021,7,20,2021,12:09:06,CH712,S,1.871,9.52,24.273
7/20/2021,7,20,2021,12:09:07,CH712,S,1.916,9.52,24.269
7/20/2021,7,20,2021,12:09:08,CH712,S,1.963,9.52,24.265
7/20/2021,7,20,2021,12:09:09,CH712,S,2,9.52,24.263
7/20/2021,7,20,2021,12:09:10,CH712,S,2.792,9.52,24.258
7/20/2021,7,20,2021,12:09:11,CH712,S,2.624,9.53,24.254
7/20/2021,7,20,2021,12:09:12,CH712,S,2.954,9.53,24.247
7/20/2021,7,20,2021,12:09:13,CH712,S,3.058,9.53,24.239
7/20/2021,7,20,2021,12:09:14,CH712,S,3.014,9.54,24.23
7/20/2021,7,20,2021,12:09:15,CH712,S,3.019,9.54,24.222
7/20/2021,7,20,2021,12:09:16,CH712,S,3.062,9.55,24.213
7/20/2021,7,20,2021,12:09:17,CH712,S,3.097,9.56,24.207
7/20/2021,7,20,2021,12:09:18,CH712,S,3.139,9.56,24.203
7/20/2021,7,20,2021,12:09:19,CH712,S,3.192,9.56,24.198
7/20/2021,7,20,2021,12:09:20,CH712,S,3.226,9.57,24.193
7/20/2021,7,20,2021,12:09:21,CH712,S,3.268,9.57,24.185
7/20/2021,7,20,2021,12:09:22,CH712,S,3.289,9.57,24.176
7/20/2021,7,20,2021,12:09:23,CH712,S,3.331,9.57,24.166
7/20/2021,7,20,2021,12:09:24,CH712,S,3.349,9.58,24.158
7/20/2021,7,20,2021,12:09:25,CH712,S,3.363,9.58,24.153
7/20/2021,7,20,2021,12:09:26,CH712,S,3.391,9.58,24.15
7/20/2021,7,20,2021,12:09:27,CH712,S,3.394,9.58,24.148
7/20/2021,7,20,2021,12:09:28,CH712,S,3.417,9.58,24.145
7/20/2021,7,20,2021,12:09:29,CH712,S,3.436,9.59,24.14
7/20/2021,7,20,2021,12:09:30,CH712,S,3.453,9.59,24.137
7/20/2021,7,20,2021,12:09:31,CH712,S,3.477,9.59,24.134
7/20/2021,7,20,2021,12:09:32,CH712,S,3.498,9.59,24.131
7/20/2021,7,20,2021,12:09:33,CH712,S,3.52,9.59,24.127
7/20/2021,7,20,2021,12:09:34,CH712,S,3.543,9.59,24.125
7/20/2021,7,20,2021,12:09:35,CH712,S,3.56,9.59,24.123
7/20/2021,7,20,2021,12:09:36,CH712,S,3.589,9.59,24.122
7/20/2021,7,20,2021,12:09:37,CH712,S,3.608,9.59,24.12
7/20/2021,7,20,2021,12:09:38,CH712,S,3.628,9.59,24.116
7/20/2021,7,20,2021,12:09:39,CH712,S,3.651,9.59,24.109
7/20/2021,7,20,2021,12:09:40,CH712,S,3.67,9.59,24.103
7/20/2021,7,20,2021,12:09:41,CH712,S,3.696,9.59,24.098
7/20/2021,7,20,2021,12:09:42,CH712,S,3.715,9.59,24.094
7/20/2021,7,20,2021,12:09:43,CH712,S,4.517,9.59,24.09
7/20/2021,7,20,2021,12:09:44,CH712,S,4.42,9.58,24.086
7/20/2021,7,20,2021,12:09:45,CH712,S,4.495,9.58,24.082
7/20/2021,7,20,2021,12:09:46,CH712,S,4.711,9.58,24.079
7/20/2021,7,20,2021,12:09:47,CH712,S,4.693,9.58,24.077
7/20/2021,7,20,2021,12:09:48,CH712,S,4.679,9.58,24.076
7/20/2021,7,20,2021,12:09:49,CH712,S,4.713,9.58,24.076
7/20/2021,7,20,2021,12:09:50,CH712,S,4.771,9.58,24.075
